path,container,ok,index_source,n_entries,first_pts_ms,last_pts_ms,duration_ms,coverage_pct,bytes_read,n_reads,index_ms,moov_position,size_gb,fallback_ms,fallback_entries,error
lib2:599c2d6b,matroska,1,seekhead,32353,0,3259256,3260448,100.0,1136039,5,776,,2.13,,,
lib2:2b019e62,matroska,1,seekhead,1704,0,1419419,1420138,99.9,566969,3,128,,1.35,,,
lib2:1c708d30,matroska,1,seekhead,18918,0,2204202,2205078,100.0,772809,3,433,,2.33,,,
lib2:e67faed1,matroska,1,seekhead,2719,0,2947653,2951488,99.9,332907,2,151,,1.52,,,
lib2:815b378c,matroska,1,seekhead,2533,0,2534532,2535533,100.0,359044,2,262,,0.97,,,
lib2:de3e0991,matroska,1,seekhead,1952,0,2462000,2468991,99.7,308615,2,99,,1.8,,,
lib2:c7677924,matroska,1,seekhead,3769,0,2546544,2547921,99.9,357760,2,136,,3.01,,,
lib2:71b1114c,matroska,1,seekhead,2727,0,2534532,2535492,100.0,329140,2,119,,2.66,,,
lib2:9fb182dc,matroska,1,seekhead,5123,0,1449865,1451936,99.9,403288,2,145,,0.57,,,
lib2:fedac1e1,matroska,1,seekhead,590,0,2588878,2594112,99.8,274491,2,83,,0.78,,,
lib2:3791a41d,matroska,1,seekhead,1753,0,2634841,2636050,100.0,305950,2,73,,0.61,,,
lib2:2116f43c,matroska,1,seekhead,2156,0,3122422,3124768,99.9,318136,2,96,,2.98,,,
lib2:92cd499f,matroska,1,seekhead,2813,0,2552550,2552992,100.0,331347,2,116,,1.83,,,
lib2:8e0c662d,matroska,1,seekhead,1727,0,3021520,3024032,99.9,304701,2,71,,0.47,,,
lib2:2592240a,matroska,1,seekhead,3450,0,2585583,2587488,99.9,383589,2,223,,1.15,,,
lib2:8668d855,matroska,1,seekhead,7163,0,1289288,1291797,99.8,454934,2,192,,0.84,,,
lib2:2d5b8d54,matroska,1,seekhead,1428,0,2511059,2513055,99.9,296908,2,167,,0.94,,,
lib2:cb6c8369,mp4,1,sample-tables,706,0,2577575,2583338,99.8,2041046,4,155,end,0.67,,,
lib1:b6aab75e,matroska,1,seekhead,41460,0,5706000,5707334,100.0,1374262,6,927,,3.66,,,
lib2:79f01b44,matroska,1,seekhead,1595,5,4147690,4150485,99.9,302177,2,81,,2.99,,,
lib2:1a0cd169,matroska,1,seekhead,707,0,1280112,1286218,99.5,280543,2,73,,0.21,,,
lib2:6f3c8ea6,mp4,1,sample-tables,646,0,2515638,2517685,99.9,2396326,4,147,end,0.65,,,
lib2:8167d155,matroska,1,seekhead,782,0,2420040,2426520,99.7,278193,2,92,,0.19,,,
lib2:f08fa092,matroska,1,seekhead,30884,0,3503500,3505169,100.0,1094675,5,731,,2.3,,,
lib2:8bcc2e57,matroska,1,seekhead,18690,0,2126000,2126368,100.0,770553,3,435,,1.3,,,
lib2:763085f1,mp4,1,sample-tables,231,0,1381380,1384064,99.8,1572864,4,100,faststart,0.44,,,
lib2:cf8cf868,mp4,1,sample-tables,548,0,2529485,2531530,99.9,2415900,4,131,end,0.66,,,
lib2:0d6e74b0,mp4,1,sample-tables,3247,0,3536960,3537040,100.0,2266109,4,149,end,1.08,,,
lib2:4e61d451,matroska,1,seekhead,902,0,2731896,2739785,99.7,286022,2,78,,0.44,,,
lib2:49de0853,mp4,1,sample-tables,396,0,2370000,2373160,99.9,2359296,4,119,faststart,0.73,,,
lib2:6a158490,matroska,1,seekhead,1249,0,1302676,1309088,99.5,303500,2,114,,0.34,,,
lib2:67fe6636,matroska,1,seekhead,886,0,3540000,3542144,99.9,281276,2,155,,2.34,,,
lib1:069cd2a6,matroska,0,,,,,,,304638,2,48,,4.28,,,ValueError: invalid EBML vint
lib2:d3e8b4b3,matroska,1,seekhead,1877,5,2503381,2504382,100.0,328366,2,172,,0.77,,,
lib2:af45e2b1,matroska,1,seekhead,678,0,1252125,1252209,100.0,279382,2,68,,0.44,,,
lib2:8264809e,matroska,1,seekhead,2862,0,2715841,2719842,99.9,847830,4,467,,0.73,,,
lib2:6e52d4e4,matroska,1,seekhead,2672,0,2566898,2568024,100.0,330546,2,126,,0.51,,,
lib2:7cc1524a,matroska,1,seekhead,3374,0,2476800,2476896,100.0,347711,2,137,,0.82,,,
lib2:e05df26c,matroska,1,seekhead,20294,0,2238000,2238459,100.0,812330,4,476,,1.38,,,
lib2:673c8b0e,matroska,1,seekhead,1149,0,2724305,2729588,99.8,291664,2,94,,0.44,,,
lib2:31579519,matroska,1,seekhead,2186,0,1590756,1593008,99.9,322252,2,117,,0.39,,,
lib2:0297cb3a,matroska,1,seekhead,1860,0,376375,380417,98.9,322454,2,143,,0.06,,,
lib2:6046b98e,matroska,1,seekhead,1177,0,1416000,1417344,99.9,290751,2,103,,0.69,,,
lib2:fa3f50c7,mp4,1,sample-tables,703,0,2577533,2583123,99.8,2040914,4,142,end,0.67,,,
lib2:bb9c0f64,matroska,1,seekhead,754,42,1295042,1295509,100.0,282043,2,76,,0.36,,,
lib2:3edb40f1,matroska,1,seekhead,1654,0,2585333,2586528,100.0,303659,2,126,,0.96,,,
lib2:a8b3a8f5,matroska,1,seekhead,1189,5,2633970,2634554,100.0,293563,2,88,,0.4,,,
lib2:895617a0,matroska,1,seekhead,22904,0,2689250,2780640,96.7,883077,4,546,,0.69,,,
lib2:2a9c4ec5,mp4,1,sample-tables,436,0,2612610,2615616,99.9,2359296,4,130,faststart,0.83,,,
lib2:9ff4c45c,matroska,1,seekhead,297,0,1353936,1355051,99.9,278962,2,70,,0.18,,,
lib2:7906b987,matroska,1,seekhead,1034,0,2638052,2643104,99.8,288657,2,85,,0.37,,,
lib2:695102bb,matroska,1,seekhead,2440,0,2381087,2385133,99.8,324993,2,122,,1.17,,,
lib2:cde86844,mp4,1,sample-tables,764,0,2576031,2585098,99.6,2011712,4,138,end,0.67,,,
lib2:6730c3b9,matroska,1,seekhead,1255,0,2905236,2906279,100.0,293766,2,194,,1.74,,,
lib2:f6b4672f,matroska,1,seekhead,672,0,1351100,1354454,99.8,278562,2,96,,0.27,,,
